date,team1,score1,team2,score2,forfeit,overtime
2026-08-27,Osage,0,Battle with Columbia Independent,7,False,False
2026-08-27,Springfield Catholic,1,Carthage,3,False,False
2026-08-27,Hillcrest,2,Cassville,5,False,False
2026-08-27,Knob Noster,0,Central (Kansas City),6,False,False
2026-08-27,Lone Jack,0,Chillicothe,2,False,False
2026-08-27,Smith-Cotton,4,Clinton,1,False,False
2026-08-27,Frontier School of Excellence Charter,2,Cristo Rey,0,False,False
2026-08-27,Kennett,4,Dexter,5,False,False
2026-08-27,Mexico,2,Eugene,3,False,False
2026-08-27,Smithton,3,Fatima,0,False,False
2026-08-27,Webster Groves,1,Francis Howell Central,2,False,False
2026-08-27,Francis Howell North,3,Ft. Zumwalt East,0,False,False
2026-08-27,Van Horn,6,Grain Valley,0,False,False
2026-08-27,Ft. Zumwalt South,1,Helias Catholic,2,False,False
2026-08-27,North County,0,Hillsboro,3,False,False
2026-08-27,Duchesne,1,Holt,2,False,False
2026-08-27,Boonville,2,Jefferson City,1,False,False
2026-08-27,Liberty North,10,Kearney,2,False,False
2026-08-27,Southern Boone,1,Kirksville,0,False,False
2026-08-27,Neosho,0,McDonald County,3,False,False
2026-08-27,Sacred Heart,0,Missouri Military Academy,4,False,False
2026-08-27,Republic,0,Monett,1,False,False
2026-08-27,St. Charles,3,Northwest (Cedar Hill),4,False,False
2026-08-27,Capital City,2,Ozark,5,False,False
2026-08-27,New Heights Christian with McAuley Catholic,3,Parkview,1,False,False
2026-08-27,Grandview,1,Pleasant Hill,4,False,False
2026-08-27,Jackson,3,Rockwood Summit,2,False,False
2026-08-27,St. Mary's South Side,2,Saxony Lutheran with St. Vincent,4,False,False
2026-08-27,Stover,1,Smith-Cotton,2,False,False
2026-08-27,Savannah,0,Smithville,3,False,False
2026-08-27,Lafayette (Wildwood),4,St. Francis Borgia,0,False,False
2026-08-27,Eureka,0,Timberland,1,False,False
2026-08-27,Lutheran St. Charles,1,Troy Buchanan,2,False,False
2026-08-27,DeSoto,1,Union,2,False,False
2026-08-27,Gateway Science Charter,3,Valley Park,1,False,False
2026-08-27,Center,1,William Chrisman,0,False,False
2026-08-27,Wright City,2,Winfield,3,False,False
2026-08-28,Fair Grove,4,Aurora,0,False,False
2026-08-28,St. Pius X (Festus),4,Bishop DuBourg,3,False,False
2026-08-28,Republic,2,Branson,1,False,False
2026-08-28,Harrisonville,0,Carl Junction,1,False,False
2026-08-28,Webb City,0,Cassville,2,False,False
2026-08-28,St. Paul Lutheran (Concordia),2,Christian Fellowship Sr. with Hallsville,1,False,False
2026-08-28,Moberly,1,Clinton,0,False,False
2026-08-28,Northwest (Cedar Hill),0,Farmington,1,False,False
2026-08-28,Marquette,3,Ft. Zumwalt West,0,False,False
2026-08-28,Nixa,2,Hickman,3,False,False
2026-08-28,Webb City,2,Hillcrest,0,False,False
2026-08-28,Whitfield,0,John Burroughs,8,False,False
2026-08-28,Westminster Christian Academy,2,Lutheran South,3,False,False
2026-08-28,STEAM Academy,0,Maplewood-Richmond Hts.,8,False,False
2026-08-28,Lebanon,3,Marshfield,2,False,False
2026-08-28,Vianney,1,Mehlville,0,False,False
2026-08-28,Branson,2,Monett,1,False,False
2026-08-28,Marshall,2,Northeast (Kansas City),5,False,False
2026-08-28,Father Tolton,3,Oak Park,2,False,False
2026-08-28,Paseo Academy,1,Odessa,0,False,False
2026-08-28,MICDS,2,Parkway Central,,False,False
2026-08-28,Ft. Zumwalt South,0,Parkway West,3,False,False
2026-08-28,Priory,3,Principia,0,False,False
2026-08-28,Kickapoo,0,Rock Bridge,8,False,False
2026-08-28,Bolivar,1,Smith-Cotton,3,False,False
2026-08-28,Hancock,1,St. Charles West,2,False,False
2026-08-28,Camdenton,3,Waynesville,0,False,False
2026-08-28,Logan-Rogersville,4,Willard,0,False,False
2026-08-28,Fox,,Affton,,False,False
2026-08-28,Kirkwood,,Liberty (Wentzville),,False,False
2026-08-29,Lebanon,3,Aurora,1,False,False
2026-08-29,Marshfield,1,Aurora,0,False,False
2026-08-29,Clinton,3,Carl Junction,2,False,False
2026-08-29,Republic,1,Cassville,0,False,False
2026-08-29,SLUH,2,Chaminade College Prep,2,False,False
2026-08-29,Francis Howell North,0,Eureka,2,False,False
2026-08-29,Lebanon,3,Fair Grove,2,False,False
2026-08-29,Rolla,0,Hannibal,0,False,False
2026-08-29,Neosho,1,Hannibal,0,False,False
2026-08-29,Smith-Cotton,3,Harrisonville,1,False,False
2026-08-29,St. Mary's South Side,2,Helias Catholic,3,False,False
2026-08-29,Kickapoo,1,Hickman,5,False,False
2026-08-29,Monett,5,Hillcrest,1,False,False
2026-08-29,Lindbergh,0,Ladue Horton Watkins,3,False,False
2026-08-29,Carthage,1,Lee's Summit,4,False,False
2026-08-29,Liberty,4,Lee's Summit West,2,False,False
2026-08-29,Father Tolton,3,Marshall,1,False,False
2026-08-29,Fair Grove,6,Marshfield,2,False,False
2026-08-29,Paseo Academy,1,Moberly,6,False,False
2026-08-29,Oak Park,1,Northeast (Kansas City),2,False,False
2026-08-29,John Burroughs,0,Notre Dame (Cape Girardeau),2,False,False
2026-08-29,Bolivar,10,Odessa,2,False,False
2026-08-29,Sullivan,0,Perryville,2,False,False
2026-08-29,Nixa,3,Rock Bridge,2,False,False
2026-08-29,Neosho,2,Rolla,0,False,False
2026-08-29,Capital City,1,Springfield Catholic,3,False,False
2026-08-29,Kennett,0,Sullivan,6,False,False
2026-08-29,Principia,1,Veritas Christian Academy,2,False,False
2026-08-29,Branson,1,Webb City,0,False,False
2026-08-29,New Covenant Academy,1,West Plains,2,False,False
2026-08-31,Father Tolton,1,Battle with Columbia Independent,2,False,False
2026-08-31,Gateway with Soldan International Studies,0,Bayless,7,False,False
2026-08-31,Platte County,1,Blue Springs South,9,False,False
2026-08-31,Ewing Marion Kauffman with University Academy Charter,0,Faith Christian Academy,3,False,False
2026-08-31,Parkway West,0,Francis Howell Central,2,False,False
2026-08-31,Pattonville,3,Lafayette (Wildwood),5,False,False
2026-08-31,Park Hill,0,Lincoln College Prep,2,False,False
2026-08-31,Marquette,0,SLUH,3,False,False
2026-08-31,Northeast (Kansas City),3,St. Michael the Archangel,0,False,False
2026-08-31,Wright City,1,Sullivan,7,False,False
2026-08-31,University City,0,Veritas Christian Academy,7,False,False
2026-09-01,St. Pius X (Festus),3,Affton,2,False,False
2026-09-01,Lutheran (Kansas City),0,Barstow,8,False,False
2026-09-01,Gateway Science Charter,0,Bayless,6,False,False
2026-09-01,Monett,3,Bolivar,4,False,False
