School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,3.06,4.03,7.08,4,1,1
Liberty North,3.08,3.71,6.79,3,4,2
SLUH,3.02,3.72,6.74,5,3,3
Lee's Summit,2.95,3.76,6.7,8,2,4
Chaminade College Prep,2.87,3.6,6.47,9,6,5
Blue Springs South,3.37,2.77,6.14,1,17,6
St. Dominic,2.64,3.43,6.08,17,9,7
Marquette,2.98,2.85,5.83,7,15,8
Christian Brothers College,2.52,3.12,5.64,21,10,9
Kirkwood,2.05,3.54,5.6,32,7,10
Francis Howell Central,3.0,2.59,5.59,6,22,11
Lee's Summit West,2.56,3.02,5.58,20,11,12
Oakville,1.79,3.69,5.49,39,5,13
Van Horn,2.84,2.58,5.42,10,23,14
Liberty,2.64,2.66,5.3,18,18,15
Nixa,2.61,2.64,5.24,19,19,16
Notre Dame (Cape Girardeau),2.34,2.9,5.24,26,13,17
Rock Bridge,2.75,2.37,5.13,12,31,18
Northeast (Kansas City),3.15,1.94,5.08,2,45,19
Park Hill South,2.14,2.88,5.01,30,14,20
Pembroke Hill,2.51,2.46,4.97,22,27,21
Parkway West,1.47,3.48,4.95,50,8,22
Glendale,2.39,2.45,4.85,24,28,23
Ladue Horton Watkins,2.82,2.02,4.84,11,43,24
John Burroughs,2.27,2.55,4.82,27,24,25
Sikeston,2.35,2.42,4.77,25,29,26
Blue Springs,2.48,2.26,4.75,23,34,27
De Smet Jesuit,2.05,2.62,4.67,33,20,28
Eureka,2.74,1.93,4.67,13,46,29
Vianney,1.78,2.8,4.58,41,16,30
Lafayette (Wildwood),2.67,1.91,4.57,16,47,31
Helias Catholic,1.65,2.91,4.56,44,12,32
Ft. Zumwalt South,2.18,2.06,4.24,28,40,33
Logan-Rogersville,2.68,1.56,4.24,15,56,34
Rockwood Summit,2.15,1.98,4.12,29,44,35
Ft. Zumwalt West,1.59,2.28,3.88,47,33,36
Lindbergh,1.46,2.38,3.84,51,30,37
Jackson,1.97,1.85,3.82,34,48,38
St. Charles,2.7,1.09,3.79,14,71,39
Clayton,1.97,1.8,3.77,35,49,40
Northwest (Cedar Hill),1.95,1.79,3.73,36,50,41
Webster Groves,1.15,2.51,3.66,58,26,42
St. Michael the Archangel,1.04,2.61,3.65,61,21,43
Farmington,1.41,2.1,3.52,53,37,44
Francis Howell,1.27,2.19,3.45,55,35,45
Springfield Catholic,1.65,1.63,3.28,43,54,46
Staley,0.72,2.51,3.23,71,25,47
Father Tolton,1.78,1.44,3.21,40,60,48
Hickman,1.6,1.55,3.14,46,58,49
Lee's Summit North,1.5,1.6,3.09,49,55,50
Park Hill,1.01,2.03,3.04,62,42,51
Priory,0.93,2.04,2.97,66,41,52
Francis Howell North,1.62,1.28,2.9,45,68,53
Lincoln College Prep,1.44,1.43,2.86,52,61,54
Raymore-Peculiar,0.48,2.35,2.83,80,32,55
Ozark,2.13,0.69,2.82,31,86,56
Carthage,1.26,1.56,2.82,57,57,57
Troy Buchanan,0.56,2.08,2.64,76,39,58
Timberland,0.52,2.1,2.62,77,38,59
Parkway South,1.26,1.3,2.56,56,66,60
Orchard Farm,0.4,2.13,2.53,86,36,61
North Point,1.76,0.7,2.46,42,85,62
Saxony Lutheran with St. Vincent,1.59,0.63,2.22,48,87,63
Marshall,0.79,1.41,2.2,70,62,64
Pattonville,1.08,0.9,1.97,59,75,65
Battle with Columbia Independent,0.71,1.21,1.92,73,69,66
Mehlville,0.11,1.76,1.86,103,51,67
Liberty (Wentzville),1.07,0.76,1.83,60,82,68
Westminster Christian Academy,0.96,0.85,1.82,64,79,69
MICDS,0.4,1.37,1.77,85,63,70
Metro,0.61,1.12,1.73,75,70,71
Seckman,0.33,1.36,1.69,91,64,72
Parkway Central,-0.02,1.7,1.68,109,52,73
Fort Osage,0.9,0.71,1.61,68,84,74
Summit Christian Academy,0.64,0.93,1.57,74,74,75
Central (St. Joseph),0.26,1.29,1.54,95,67,76
Ft. Zumwalt East,-0.14,1.63,1.49,113,53,77
Branson,0.45,1.0,1.45,83,72,78
Oak Park,0.48,0.94,1.41,81,73,79
Central (Springfield),0.38,0.9,1.28,87,76,80
Smith-Cotton,1.28,-0.06,1.22,54,118,81
Principia,-0.29,1.45,1.16,118,59,82
Maplewood-Richmond Hts.,0.28,0.84,1.12,93,80,83
Grain Valley,0.37,0.72,1.09,88,83,84
Poplar Bluff,1.92,-0.88,1.04,37,151,85
North Kansas City,0.52,0.44,0.96,78,93,86
St. Mary's South Side,0.91,-0.01,0.9,67,115,87
Republic,-0.44,1.33,0.88,125,65,88
Monett,0.26,0.48,0.74,94,91,89
Capital City,0.16,0.58,0.74,101,89,90
Camdenton,0.26,0.47,0.73,96,92,91
Barstow,0.12,0.59,0.7,102,88,92
Joplin,-0.18,0.83,0.65,114,81,93
Lutheran St. Charles,-0.22,0.87,0.65,115,77,94
Veritas Christian Academy,-0.23,0.85,0.62,117,78,95
McDonald County,0.37,0.2,0.57,90,108,96
Parkview,0.16,0.3,0.46,100,101,97
