School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Pembroke Hill,2.42,2.03,4.45,1,1,1
Father Tolton,1.88,1.68,3.56,2,2,2
Saxony Lutheran with St. Vincent,1.57,0.41,1.98,3,6,3
Barstow,0.5,1.07,1.57,6,3,4
Faith Christian Academy,0.57,0.86,1.43,5,4,5
Fair Grove,1.27,-0.57,0.7,4,16,6
Maplewood-Richmond Hts.,-0.13,0.56,0.44,9,5,7
Northland Christian,-0.18,0.35,0.17,11,8,8
St. Paul Lutheran (Concordia),-0.71,0.4,-0.31,14,7,9
Metro,-0.1,-0.23,-0.33,8,12,10
Frontier School of Excellence Charter,0.1,-0.75,-0.64,7,18,11
New Heights Christian with McAuley Catholic,-1.15,0.35,-0.81,18,9,12
St. Pius X (Festus),-1.19,0.26,-0.93,20,10,13
Greenwood,-0.93,-0.17,-1.1,15,11,14
Whitfield,-0.27,-1.1,-1.37,12,21,15
Thomas Jefferson Independent Day,-1.03,-0.39,-1.42,16,14,16
New Covenant Academy,-1.15,-0.63,-1.78,17,17,17
Valley Park,-1.98,-0.29,-2.27,23,13,18
Laquey with Richland,-1.88,-0.5,-2.38,22,15,19
Frontier STEM,-0.14,-2.57,-2.7,10,30,20
Lone Jack,-1.67,-1.07,-2.74,21,20,21
Crocker,-0.44,-2.41,-2.84,13,28,22
Brentwood,-2.05,-0.83,-2.88,24,19,23
Cameron,-1.17,-1.78,-2.94,19,24,24
Cristo Rey,-2.66,-1.38,-4.04,29,23,25
Hancock,-2.51,-1.83,-4.34,28,25,26
Smithton,-2.44,-2.05,-4.5,27,26,27
Lutheran (Kansas City),-4.06,-1.18,-5.24,41,22,28
La Monte,-3.51,-2.09,-5.6,37,27,29
Sacred Heart,-3.31,-2.52,-5.83,34,29,30
Dixon,-2.07,-3.78,-5.85,25,32,31
Elsberry,-3.47,-3.01,-6.48,36,31,32
Green Ridge with Cole Camp,-3.07,-3.99,-7.06,31,33,33
Eugene,-3.07,-4.03,-7.1,32,34,34
Lutheran North,-3.05,-4.12,-7.17,30,35,35
Fatima,-3.1,-4.43,-7.53,33,36,36
Bishop LeBlond,-2.28,-5.65,-7.92,26,39,37
Crossroads College Preparatory,-3.65,-4.84,-8.49,38,37,38
Canton,-3.47,-5.47,-8.94,35,38,39
Iberia,-3.74,-6.55,-10.29,39,40,40
Calvary Lutheran,-3.76,-7.59,-11.35,40,41,41
