Date,Home Team,Home Score,Away Team,Away Score
2026-08-27,Osage,0,Battle with Columbia Independent,7
2026-08-27,Springfield Catholic,1,Carthage,3
2026-08-27,Hillcrest,2,Cassville,5
2026-08-27,Knob Noster,0,Central (Kansas City),6
2026-08-27,Lone Jack,0,Chillicothe,2
2026-08-27,Smith-Cotton,4,Clinton,1
2026-08-27,Frontier School of Excellence Charter,2,Cristo Rey,0
2026-08-27,Kennett,4,Dexter,5
2026-08-27,Mexico,2,Eugene,3
2026-08-27,Smithton,3,Fatima,0
2026-08-27,Webster Groves,1,Francis Howell Central,2
2026-08-27,Francis Howell North,3,Ft. Zumwalt East,0
2026-08-27,Van Horn,6,Grain Valley,0
2026-08-27,Ft. Zumwalt South,1,Helias Catholic,2
2026-08-27,North County,0,Hillsboro,3
2026-08-27,Duchesne,1,Holt,2
2026-08-27,Boonville,2,Jefferson City,1
2026-08-27,Liberty North,10,Kearney,2
2026-08-27,Southern Boone,1,Kirksville,0
2026-08-27,Neosho,0,McDonald County,3
2026-08-27,Sacred Heart,0,Missouri Military Academy,4
2026-08-27,Republic,0,Monett,1
2026-08-27,St. Charles,3,Northwest (Cedar Hill),4
2026-08-27,Capital City,2,Ozark,5
2026-08-27,New Heights Christian with McAuley Catholic,3,Parkview,1
2026-08-27,Grandview,1,Pleasant Hill,4
2026-08-27,Jackson,3,Rockwood Summit,2
2026-08-27,St. Mary's South Side,2,Saxony Lutheran with St. Vincent,4
2026-08-27,Stover,1,Smith-Cotton,2
2026-08-27,Savannah,0,Smithville,3
2026-08-27,Lafayette (Wildwood),4,St. Francis Borgia,0
2026-08-27,Eureka,0,Timberland,1
2026-08-27,Lutheran St. Charles,1,Troy Buchanan,2
2026-08-27,DeSoto,1,Union,2
2026-08-27,Gateway Science Charter,3,Valley Park,1
2026-08-27,Center,1,William Chrisman,0
2026-08-27,Wright City,2,Winfield,3
2026-08-28,Fox,2,Affton,4
2026-08-28,Fair Grove,4,Aurora,0
2026-08-28,St. Pius X (Festus),4,Bishop DuBourg,3
2026-08-28,Republic,2,Branson,1
2026-08-28,Harrisonville,0,Carl Junction,1
2026-08-28,Webb City,0,Cassville,2
